Season,Player,Team,Injury,Date,Source
2025,Elijah Arroyo,TE,Injured Reserve (Knee),12/19,Yahoo
2025,Ben Bredeson,G,Injured Reserve (Knee),12/19,Yahoo
2025,Cody Mauch,G,Injured Reserve (Knee),12/19,Yahoo
2025,David Walker,OLB,Injured Reserve (Knee),12/19,Yahoo
2025,JJ Roberts,S,Injured Reserve (Knee),12/19,Yahoo
2025,Ali Gaye,OLB,Injured Reserve - Designated for Return (Knee),12/19,Yahoo
2025,Bryce Oliver,WR,Injured Reserve - Designated for Return (Knee),12/19,Yahoo
2025,Anfernee Orji,LB,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Zach Ertz,TE,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Marshon Lattimore,CB,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Dorance Armstrong,DE,Injured Reserve (Knee),12/19,Yahoo
2025,Lucas Niang,T,Injured Reserve (Knee - ACL),12/19,Yahoo
